NO.,Fecha/hora,Intervalo,Temperatura interior,Humedad interior,Temperatura exterior,Humedad exterior,Presion relativa,Presion absoluta,Velocidad del viento(mph),ráfaga(mph),Direccion del viento,Punto de rocio(c°),sensacion termica(°C),Hora de lluvia(mm),24 Hour Rainfall(mm),Semana de lluvia(mm),Mes de lluvia(mm),Total de lluvia(mm)
1297,21/09/2018 13:20,5,24.7,47,23.7,46,29.85,26.3,0,0,---,11.4,23.7,0,0,0,0,0
1298,21/09/2018 13:22,5,24.8,69,24.8,68,29.89,26.34,0,0,---,18.5,24.8,0,0,0,0,0
1299,21/09/2018 13:25,5,24.6,47,23.7,46,29.85,26.3,0,0,---,11.4,23.7,0,0,0,0,0
1300,21/09/2018 13:27,5,24.8,69,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1301,21/09/2018 13:30,5,24.6,47,23.7,46,29.85,26.3,0,0,---,11.4,23.7,0,0,0,0,0
1302,21/09/2018 13:32,5,24.8,69,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1303,21/09/2018 13:35,5,24.5,47,23.6,46,29.84,26.29,0,0,---,11.3,23.6,0,0,0,0,0
1304,21/09/2018 13:37,5,24.9,69,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1305,21/09/2018 13:40,5,24.4,47,23.6,46,29.84,26.29,0,0,---,11.3,23.6,0,0,0,0,0
1306,21/09/2018 13:42,5,24.8,70,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1307,21/09/2018 13:45,5,24.3,47,23.6,46,29.83,26.28,0,0,---,11.3,23.6,0,0,0,0,0
1308,21/09/2018 13:47,5,24.8,69,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1309,21/09/2018 13:50,5,24.3,47,23.6,46,29.83,26.28,0,0,---,11.3,23.6,0,0,0,0,0
1310,21/09/2018 13:52,5,24.8,69,24.8,69,29.89,26.34,0,0,---,18.8,24.8,0,0,0,0,0
1311,21/09/2018 13:55,5,24.2,47,23.6,46,29.83,26.28,0,0,---,11.3,23.6,0,0,0,0,0
1312,21/09/2018 13:57,5,24.9,69,24.8,69,29.89,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1313,21/09/2018 14:00,5,24.1,47,23.6,46,29.82,26.27,0,0,---,11.3,23.6,0,0,0,0,0
1314,21/09/2018 14:02,5,24.8,69,24.8,69,29.9,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1315,21/09/2018 14:05,5,24.1,48,23.6,46,29.82,26.27,0,0,---,11.3,23.6,0,0,0,0,0
1316,21/09/2018 14:07,5,24.8,69,24.8,69,29.89,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1317,21/09/2018 14:10,5,24.1,48,23.6,46,29.82,26.27,0,0,---,11.3,23.6,0,0,0,0,0
1318,21/09/2018 14:12,5,24.8,70,24.8,69,29.9,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1319,21/09/2018 14:15,5,24.1,47,23.6,46,29.81,26.26,0,0,---,11.3,23.6,0,0,0,0,0
1320,21/09/2018 14:17,5,24.8,70,24.8,69,29.9,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1321,21/09/2018 14:20,5,24.1,48,23.6,46,29.82,26.27,0,0,---,11.3,23.6,0,0,0,0,0
1322,21/09/2018 14:22,5,24.8,70,24.8,69,29.9,26.35,0,0,---,18.8,24.8,0,0,0,0,0
1323,21/09/2018 14:25,5,24.1,48,23.6,46,29.81,26.26,0,0,---,11.3,23.6,0,0,0,0,0
1324,21/09/2018 14:27,5,24.8,70,24.8,69,29.9,26.35,0,0,---,18.8,24.8,0,0,0,0,0
